LGA,Attribute,90th_Percentile,Median,LGA_Code,Decile
Glen Eira,Apr - Jun 2024,27.55,12.06,22310,10
Glen Eira,Jul - Sep 2024,23.93,11.92,22310,10
Glen Eira,Oct - Dec 2024,25.09,11.88,22310,10
Glen Eira,Jan - Mar 2025,23.98,12.08,22310,10
Glen Eira,Apr - Jun 2025,24.67,12.23,22310,10
Glenelg,Apr - Jun 2024,30.94,10.72,22410,4
Glenelg,Jul - Sep 2024,23.84,10.18,22410,4
Glenelg,Oct - Dec 2024,26.75,10.21,22410,4
Glenelg,Jan - Mar 2025,28.8,10.23,22410,4
Glenelg,Apr - Jun 2025,29.21,9.91,22410,4
Golden Plains,Apr - Jun 2024,33.1,19.25,22490,9
Golden Plains,Jul - Sep 2024,32.78,21.21,22490,9
Golden Plains,Oct - Dec 2024,35.2,20.02,22490,9
Golden Plains,Jan - Mar 2025,30.95,17.38,22490,9
Golden Plains,Apr - Jun 2025,36.01,20.91,22490,9
Greater Bendigo,Apr - Jun 2024,29.15,12.9,22620,6
Greater Bendigo,Jul - Sep 2024,29.87,13.08,22620,6
Greater Bendigo,Oct - Dec 2024,28.86,12.82,22620,6
Greater Bendigo,Jan - Mar 2025,26.38,12.9,22620,6
Greater Bendigo,Apr - Jun 2025,27.2,12.73,22620,6
Greater Dandenong,Apr - Jun 2024,23.58,12.13,22670,2
Greater Dandenong,Jul - Sep 2024,22.83,12.05,22670,2
Greater Dandenong,Oct - Dec 2024,24.74,12.48,22670,2
Greater Dandenong,Jan - Mar 2025,23.7,12.33,22670,2
Greater Dandenong,Apr - Jun 2025,23.05,12.23,22670,2
Greater Geelong,Apr - Jun 2024,22.52,11.5,22750,8
Greater Geelong,Jul - Sep 2024,23.78,11.82,22750,8
Greater Geelong,Oct - Dec 2024,23.39,11.47,22750,8
Greater Geelong,Jan - Mar 2025,22.46,11.32,22750,8
Greater Geelong,Apr - Jun 2025,22.7,11.67,22750,8
Greater Shepparton,Apr - Jun 2024,26.3,11.45,22830,3
Greater Shepparton,Jul - Sep 2024,25.1,11.15,22830,3
Greater Shepparton,Oct - Dec 2024,27.4,11.5,22830,3
Greater Shepparton,Jan - Mar 2025,25.79,11.14,22830,3
Greater Shepparton,Apr - Jun 2025,23.46,10.93,22830,3
Hepburn,Apr - Jun 2024,31.99,15.98,22910,8
Hepburn,Jul - Sep 2024,33.32,17.1,22910,8
Hepburn,Oct - Dec 2024,32.3,17.85,22910,8
Hepburn,Jan - Mar 2025,34.69,17.46,22910,8
Hepburn,Apr - Jun 2025,34.31,18.22,22910,8
Hindmarsh,Apr - Jun 2024,41.49,14.1,22980,3
Hindmarsh,Jul - Sep 2024,58.86,18.69,22980,3
Hindmarsh,Oct - Dec 2024,49.16,18.26,22980,3
Hindmarsh,Jan - Mar 2025,39.94,12.08,22980,3
Hindmarsh,Apr - Jun 2025,56.59,20.47,22980,3
Hobsons Bay,Apr - Jun 2024,27.96,13.8,23110,8
Hobsons Bay,Jul - Sep 2024,25.01,13.89,23110,8
Hobsons Bay,Oct - Dec 2024,28.12,13.67,23110,8
Hobsons Bay,Jan - Mar 2025,26.86,13.22,23110,8
Hobsons Bay,Apr - Jun 2025,26.07,13.5,23110,8
Horsham,Apr - Jun 2024,25.06,9.38,23190,6
Horsham,Jul - Sep 2024,23.89,9.48,23190,6
Horsham,Oct - Dec 2024,22.26,8.8,23190,6
Horsham,Jan - Mar 2025,23.31,8.6,23190,6
Horsham,Apr - Jun 2025,22.72,8.85,23190,6
Hume,Apr - Jun 2024,28.13,13.85,23270,3
Hume,Jul - Sep 2024,27.3,13.57,23270,3
Hume,Oct - Dec 2024,27.63,13.18,23270,3
Hume,Jan - Mar 2025,26.94,13.12,23270,3
Hume,Apr - Jun 2025,26.88,13.42,23270,3
Indigo,Apr - Jun 2024,32.7,19.3,23350,9
Indigo,Jul - Sep 2024,35.77,19.88,23350,9
Indigo,Oct - Dec 2024,38.44,23.26,23350,9
Indigo,Jan - Mar 2025,36.07,23.33,23350,9
Indigo,Apr - Jun 2025,37.43,23.9,23350,9
Kingston,Apr - Jun 2024,24.95,12.76,23430,9
Kingston,Jul - Sep 2024,23.85,12.63,23430,9
Kingston,Oct - Dec 2024,24.08,12.68,23430,9
Kingston,Jan - Mar 2025,24.59,12.65,23430,9
Kingston,Apr - Jun 2025,24.45,12.93,23430,9
Knox,Apr - Jun 2024,25.57,12.22,23670,9
Knox,Jul - Sep 2024,22.37,11.8,23670,9
Knox,Oct - Dec 2024,23.5,11.93,23670,9
Knox,Jan - Mar 2025,22.45,11.56,23670,9
Knox,Apr - Jun 2025,23.43,12.26,23670,9
Latrobe,Apr - Jun 2024,22.18,10.32,23810,3
Latrobe,Jul - Sep 2024,23.4,10.73,23810,3
Latrobe,Oct - Dec 2024,22.84,10.5,23810,3
Latrobe,Jan - Mar 2025,24.12,10.43,23810,3
Latrobe,Apr - Jun 2025,24.49,10.73,23810,3
Loddon,Apr - Jun 2024,42.74,23.76,23940,3
Loddon,Jul - Sep 2024,40.07,20.65,23940,3
Loddon,Oct - Dec 2024,41.76,24.82,23940,3
Loddon,Jan - Mar 2025,41.08,24.77,23940,3
Loddon,Apr - Jun 2025,45,22.05,23940,3
Macedon Ranges,Apr - Jun 2024,30.4,13.68,24130,10
Macedon Ranges,Jul - Sep 2024,29.45,12.98,24130,10
Macedon Ranges,Oct - Dec 2024,28.52,13.93,24130,10
Macedon Ranges,Jan - Mar 2025,28.58,13.12,24130,10
Macedon Ranges,Apr - Jun 2025,28.39,14.06,24130,10
Manningham,Apr - Jun 2024,26.02,13.37,24210,10
Manningham,Jul - Sep 2024,26.12,12.74,24210,10
Manningham,Oct - Dec 2024,25.53,12.79,24210,10
Manningham,Jan - Mar 2025,25.78,12.85,24210,10
Manningham,Apr - Jun 2025,26.78,13,24210,10
Mansfield,Apr - Jun 2024,53.39,18.25,24250,9
Mansfield,Jul - Sep 2024,49.53,21.43,24250,9
Mansfield,Oct - Dec 2024,55.78,15.02,24250,9
Mansfield,Jan - Mar 2025,56.55,20.12,24250,9
Mansfield,Apr - Jun 2025,56.49,18.2,24250,9
Maribyrnong,Apr - Jun 2024,26.04,13.22,24330,8
Maribyrnong,Jul - Sep 2024,25.48,12.73,24330,8
Maribyrnong,Oct - Dec 2024,26.42,12.82,24330,8
Maribyrnong,Jan - Mar 2025,25.37,12.65,24330,8
Maribyrnong,Apr - Jun 2025,22.88,12.4,24330,8
Maroondah,Apr - Jun 2024,23.82,11.63,24410,9
Maroondah,Jul - Sep 2024,24.21,11.63,24410,9
Maroondah,Oct - Dec 2024,24.45,11.5,24410,9
Maroondah,Jan - Mar 2025,23.53,11.62,24410,9
Maroondah,Apr - Jun 2025,25.75,11.88,24410,9
Melbourne,Apr - Jun 2024,23.28,10.3,24600,8
Melbourne,Jul - Sep 2024,22.87,10.43,24600,8
Melbourne,Oct - Dec 2024,24.59,10.53,24600,8
Melbourne,Jan - Mar 2025,23.12,10.3,24600,8
Melbourne,Apr - Jun 2025,21.27,9.98,24600,8
Melton,Apr - Jun 2024,29.08,14.49,24650,6
Melton,Jul - Sep 2024,29.28,14.15,24650,6
Melton,Oct - Dec 2024,30.39,14.2,24650,6
Melton,Jan - Mar 2025,28.41,13.94,24650,6
Melton,Apr - Jun 2025,28.18,13.9,24650,6
Mildura,Apr - Jun 2024,23.72,10.07,24780,3
Mildura,Jul - Sep 2024,24.01,10.38,24780,3
Mildura,Oct - Dec 2024,23.37,10.13,24780,3
Mildura,Jan - Mar 2025,25.13,10.36,24780,3
Mildura,Apr - Jun 2025,24.9,10.52,24780,3
Mitchell,Apr - Jun 2024,30.74,14.57,24850,7
Mitchell,Jul - Sep 2024,35.36,14.68,24850,7
Mitchell,Oct - Dec 2024,34.9,14.72,24850,7
Mitchell,Jan - Mar 2025,34.35,14.27,24850,7
Mitchell,Apr - Jun 2025,31.44,13.9,24850,7
Moira,Apr - Jun 2024,36.54,16.99,24900,4
Moira,Jul - Sep 2024,33.58,13.21,24900,4
Moira,Oct - Dec 2024,36.01,15.97,24900,4
Moira,Jan - Mar 2025,34.97,12.57,24900,4
Moira,Apr - Jun 2025,36.88,12.45,24900,4
Monash,Apr - Jun 2024,25.75,12.6,24970,9
Monash,Jul - Sep 2024,23.87,12.53,24970,9
Monash,Oct - Dec 2024,25.08,12.67,24970,9
Monash,Jan - Mar 2025,23.84,12.6,24970,9
Monash,Apr - Jun 2025,25.33,12.7,24970,9
Moonee Valley,Apr - Jun 2024,25.41,13.18,25060,9
Moonee Valley,Jul - Sep 2024,23.49,12.88,25060,9
Moonee Valley,Oct - Dec 2024,24.51,12.99,25060,9
Moonee Valley,Jan - Mar 2025,24.68,13.12,25060,9
Moonee Valley,Apr - Jun 2025,24.12,12.83,25060,9
Moorabool,Apr - Jun 2024,31.94,16.72,25150,8
Moorabool,Jul - Sep 2024,30.42,14.52,25150,8
Moorabool,Oct - Dec 2024,33.05,15.4,25150,8
Moorabool,Jan - Mar 2025,32.9,14.63,25150,8
Moorabool,Apr - Jun 2025,33.95,15.74,25150,8
Moreland,Apr - Jun 2024,23.9,12.33,25250,8
Moreland,Jul - Sep 2024,24.93,12.33,25250,8
Moreland,Oct - Dec 2024,23.51,12.22,25250,8
Moreland,Jan - Mar 2025,24.14,12.1,25250,8
Moreland,Apr - Jun 2025,23.04,12.33,25250,8
Mornington Peninsula,Apr - Jun 2024,27.33,12.8,25340,9
Mornington Peninsula,Jul - Sep 2024,25.94,12.07,25340,9
Mornington Peninsula,Oct - Dec 2024,28.54,12.97,25340,9
Mornington Peninsula,Jan - Mar 2025,28.02,12.78,25340,9
Mornington Peninsula,Apr - Jun 2025,25.53,12.52,25340,9
Mount Alexander,Apr - Jun 2024,34.47,14.53,25430,8
Mount Alexander,Jul - Sep 2024,36.51,16.52,25430,8
Mount Alexander,Oct - Dec 2024,39.25,19.07,25430,8
